2.873	0.1
2.785	0.1
2.69	0.1
2.641	0
2.62	0.1
2.653	0.1
2.437	0
2.487	0.1
2.588	0.3
2.654	0.5
2.905	0.8
3.264	1.4
3.644	1.8
3.882	2.1
4.036	2.4
4.295	2.9
4.729	4.3
5.237	6.5
5.634	8.3
5.799	8.4
5.869	8.8
5.996	9.7
6.176	10.8
6.342	12.1
6.49	13.2
6.598	14
6.631	14.7
6.621	15.3
6.678	15.5
6.769	16.4
6.728	16.2
6.546	14.8
6.371	13.5
6.266	13.2
6.213	12.7
6.176	12.5
6.138	12.5
6.14	12.6
6.219	13.1
6.389	13.9
6.529	15
6.698	16.3
6.808	16.9
6.772	16.9
6.668	16
6.506	14.6
6.378	13.8
6.312	13.4
6.218	12.9
6.121	12.3
5.977	11.6
5.86	11.1
5.76	10.3
5.724	10.2
5.791	10.5
6.011	12
6.38	14.5
6.808	17.7
7.05	19.8
7.073	19.8
6.995	18.4
6.802	16.8
6.585	15.1
6.349	14.2
6.207	13.4
6.208	13.4
6.392	14.7
6.685	17.2
7.039	20.1
7.356	22.1
7.624	23.7
7.733	24.8
7.691	23.7
7.512	22
7.501	22
7.382	21.5
7.459	22.3
7.457	24
7.476	23.8
7.418	25.3
7.404	24.5
7.402	25.4
7.485	25.2
7.8	28
8.164	31.6
8.538	35.2
8.655	36
8.754	38.2
8.515	36.1
8.165	32.9
8.05	29.7
8.102	31.4
8.014	30.8
7.773	29.1
7.67	27.1
7.512	25.9
7.587	28.4
7.644	28.9
7.543	27.6
7.167	22.7
6.749	20.7
6.451	17.1
6.34	17.2
7.149	21.8
8.199	31.6
8.832	38
9.129	41.2
8.892	37.1
8.278	33.3
7.741	26
7.899	29.3
7.885	27.6
7.886	28.1
8.005	32
7.672	25.6
7.503	28.4
7.796	29
8.073	33.3
8.129	30.9
8.109	32.1
8.133	28.8
8.162	32.8
8.307	34.4
8.453	32.9
8.323	33.4
8.115	32.8
7.975	30.6
8.021	32.1
8.131	32.5
8.348	33.5
8.656	39.6
8.592	39.5
8.387	32.7
8.284	33.1
8.2	31.4
8.149	32.7
8.211	33.6
8.432	32.9
8.841	39.9
9.33	45.3
9.557	48.8
9.509	46.6
9.484	49.1
9.504	47.3
9.341	45.4
9.178	42.8
9.238	46.8
9.515	47.6
9.825	49.9
10.091	50.8
10.389	57.6
10.467	55.7
10.208	54.9
9.557	48.1
9.331	43.4
9.257	42.2
9.223	50.2
9.174	43.6
9.134	44.7
8.956	43.2
8.654	39.6
8.317	36
8.073	34.3
8.009	34.4
7.974	32.6
8.014	31
8.09	31.8
